count,can_double,can_split,hand,dealer_upcard,recommendation,state_visits,q_hit,visits_hit,q_stand,visits_stand,q_double,visits_double,q_split,visits_split
<1,False,False,ace five,3,S,149,-5.611111111111112,18,-0.2520325203252033,123,-100.0,3,-100.0,5
<1,False,False,ace five,4,S,163,-34.0,6,-0.24137931034482743,145,-100.0,5,-100.0,7
<1,False,False,ace five,5,S,178,-3.666666666666667,27,0.014084507042253528,142,-100.0,7,-100.0,2
<1,False,False,ace five,6,S,232,-20.8,5,-0.18894009216589858,217,-100.0,3,-100.0,7
<1,False,False,ace five,7,S,193,-11.444444444444445,9,-0.548022598870056,177,-100.0,3,-100.0,4
<1,False,False,ace five,8,S,197,-33.33333333333333,3,-0.481081081081081,185,-100.0,4,-100.0,5
<1,False,False,ace five,9,S,225,-0.6666666666666666,12,-0.6060606060606062,198,-100.0,6,-100.0,9
<1,False,False,ace five,10,S,796,-5.473684210526315,19,-0.6097560975609748,738,-100.0,20,-100.0,19
<1,False,False,ace five,1,S,148,-0.8571428571428572,7,-0.6323529411764709,136,-100.0,3,-100.0,2
<1,False,False,ace six,2,S,217,-3.6800000000000006,25,-0.19021739130434787,184,-100.0,3,-100.0,5
<1,False,False,ace six,3,S,237,-8.750000000000002,12,-0.11009174311926605,218,-100.0,5,-100.0,2
<1,False,False,ace six,4,S,241,-16.416666666666668,12,-0.009049773755656122,221,-100.0,4,-100.0,4
<1,False,False,ace six,5,S,252,-6.857142857142857,14,-0.06363636363636364,220,-100.0,11,-100.0,7
<1,False,False,ace six,6,S,224,-0.6666666666666666,6,-0.10096153846153853,208,-100.0,5,-100.0,5
<1,False,False,ace six,7,S,231,-2.0408163265306127,49,-0.09195402298850569,174,-100.0,5,-100.0,3
<1,False,False,ace six,8,S,285,-3.6538461538461537,26,-0.3008130081300814,246,-100.0,6,-100.0,7
<1,False,False,ace six,9,S,253,-17.5,6,-0.3862660944206005,233,-100.0,6,-100.0,8
<1,False,False,ace six,10,S,1095,-0.5806451612903226,31,-0.40733399405351817,1009,-100.0,28,-100.0,27
<1,False,False,ace six,1,S,234,-9.818181818181818,11,-0.5603864734299514,207,-100.0,9,-100.0,7
<1,False,False,ace seven,2,S,344,-10.666666666666664,9,0.07232704402515729,318,-100.0,12,-100.0,5
<1,False,False,ace seven,3,S,314,-0.07692307692307691,13,0.16842105263157908,285,-100.0,11,-100.0,5
<1,False,False,ace seven,4,S,315,-0.18181818181818182,11,0.217081850533808,281,-100.0,13,-100.0,10
<1,False,False,ace seven,5,S,273,-12.375,8,0.20553359683794475,253,-100.0,8,-100.0,4
<1,False,False,ace seven,6,S,337,-11.23529411764706,17,0.25328947368421056,304,-100.0,11,-100.0,5
<1,False,False,ace seven,7,S,351,-0.4285714285714286,7,0.366153846153846,325,-100.0,11,-100.0,8
<1,False,False,ace seven,8,S,350,-25.0,8,0.16099071207430357,323,-100.0,12,-100.0,7
<1,False,False,ace seven,9,S,337,-0.49999999999999994,12,-0.15161290322580645,310,-100.0,4,-100.0,11
<1,False,False,ace seven,10,S,1386,-1.8,70,-0.21073717948717918,1248,-100.0,28,-100.0,40
<1,False,False,ace seven,1,S,247,-5.705882352941177,17,-0.07009345794392523,214,-100.0,3,-100.0,13
<1,False,False,ace eight,2,S,353,-10.0,10,0.32628398791540797,331,-100.0,4,-100.0,8
<1,False,False,ace eight,3,S,405,-8.08333333333333,12,0.5190217391304344,368,-100.0,13,-100.0,12
<1,False,False,ace eight,4,S,325,-4.083333333333333,24,0.3663003663003663,273,-100.0,16,-100.0,12
<1,False,False,ace eight,5,S,388,-16.611111111111114,18,0.41142857142857114,350,-100.0,10,-100.0,10
<1,False,False,ace eight,6,S,346,0.0769230769230769,13,0.5664556962025316,316,-100.0,12,-100.0,5
<1,False,False,ace eight,7,S,400,-8.416666666666668,12,0.6256830601092902,366,-100.0,12,-100.0,10
<1,False,False,ace eight,8,S,455,0.22222222222222227,9,0.6249999999999993,416,-100.0,21,-100.0,9
<1,False,False,ace eight,9,S,409,-4.666666666666667,21,0.3091397849462365,372,-100.0,7,-100.0,9
<1,False,False,ace eight,10,S,1701,-5.280701754385965,57,0.09797724399494298,1582,-100.0,34,-100.0,28
<1,False,False,ace eight,1,S,333,0.15384615384615385,13,0.23588039867109623,301,-100.0,7,-100.0,12
<1,False,False,blackjack,2,S,106119,-100.0,2676,1.5,98123,-100.0,2646,-100.0,2674
<1,False,False,blackjack,3,S,106102,-100.0,2658,1.5,98171,-100.0,2597,-100.0,2676
<1,False,False,blackjack,4,S,107267,-100.0,2656,1.5,99235,-100.0,2618,-100.0,2758
<1,False,False,blackjack,5,S,107465,-100.0,2664,1.5,99289,-100.0,2727,-100.0,2785
<1,False,False,blackjack,6,S,107422,-100.0,2779,1.5,99230,-100.0,2737,-100.0,2676
<1,False,False,blackjack,7,S,112145,-100.0,2826,1.5,103733,-100.0,2874,-100.0,2712
<1,False,False,blackjack,8,S,112305,-100.0,2797,1.5,103808,-100.0,2915,-100.0,2785
<1,False,False,blackjack,9,S,115608,-100.0,3015,1.5,106724,-100.0,2958,-100.0,2911
<1,False,False,blackjack,10,S,436837,-100.0,10985,1.5,403802,-100.0,10941,-100.0,11109
<1,False,False,blackjack,1,S,79517,-100.0,1969,1.5,73575,-100.0,1939,-100.0,2034
<1,True,False,<8,2,S,69264,-4.793305930710509,1703,-0.3027977917095561,64122,-0.625139664804469,1790,-100.0,1649
<1,True,False,<8,3,S,71019,-6.48588490770902,1842,-0.28353923919185314,65483,-0.5310825294748142,1866,-100.0,1828
<1,True,False,<8,4,S,69792,-5.019818799546996,1766,-0.23091833886425195,64486,-0.5104342921601793,1773,-100.0,1767
<1,True,False,<8,5,S,71463,-5.832420591456737,1826,-0.20712338779674372,65671,-0.3294337856808611,2137,-100.0,1829
<1,True,False,<8,6,S,71618,-5.823081110506253,1837,-0.17826014207267793,65741,-0.26769509981851164,2204,-100.0,1836
<1,True,False,<8,7,S,79643,-6.847803881511738,1958,-0.4941069316621599,73561,-0.8146934955545179,2137,-100.0,1987
<1,True,False,<8,8,S,79744,-5.656941649899399,1988,-0.5177669100613703,73817,-0.8223376623376636,1925,-100.0,2014
<1,True,False,<8,9,S,80961,-6.115956392467789,2018,-0.5347654268243824,74902,-1.061183550651955,1994,-100.0,2047
<1,True,False,<8,10,S,321143,-6.0381163162424505,8133,-0.5352564858391312,296839,-0.9874306839186734,8115,-100.0,8056
<1,True,False,<8,1,S,61351,-6.161290322580649,1581,-0.6969290504765223,56660,-1.310411311053985,1556,-100.0,1554
<1,True,False,six two,2,D,16496,-5.0709534368071,451,-0.2876190476190475,1050,-0.23614061536353034,14593,-100.0,402
<1,True,False,six two,3,D,17796,-6.496453900709221,423,-0.32229580573951455,453,-0.2604930046635548,16511,-100.0,409
<1,True,False,six two,4,D,18695,-8.33333333333333,471,-0.13211845102505687,439,-0.061007344012028064,17293,-100.0,492
<1,True,False,six two,5,D,18330,-5.761229314420803,423,-0.25416666666666676,480,-0.06661941885187805,16932,-100.0,495
<1,True,False,six two,6,D,17655,-7.412556053811657,446,-0.14775160599571716,467,0.007551108109767317,16289,-100.0,453
<1,True,False,six two,7,D,19714,-7.192622950819672,488,-0.40205178309721573,2047,-0.2458937777244924,16682,-100.0,497
<1,True,False,six two,8,S,19955,-5.082278481012663,474,-0.550784882130937,18283,-0.5660964230171068,643,-100.0,555
<1,True,False,six two,9,S,20237,-5.36624775583483,557,-0.5824264626656616,18562,-0.738878143133462,517,-100.0,601
<1,True,False,six two,10,S,82302,-5.095668729176583,2101,-0.5495561741688129,76156,-0.8274137068534267,1999,-100.0,2046
<1,True,False,six two,1,S,15172,-5.859649122807019,399,-0.6947179302910503,13915,-0.8430962343096238,478,-100.0,380
<1,True,False,five three,2,D,18164,-4.5366972477064245,436,-0.27354838709677565,12400,-0.20057189542483667,4896,-100.0,432
