hand_value,is_soft,dealer_upcard,can_double,action,estimated_value,visits
12,False,7,False,HIT,-0.261025,1678
12,False,7,False,STAND,-0.478723,188
12,False,7,True,HIT,-0.260116,2941
12,False,7,True,STAND,-0.453782,238
12,False,7,True,DOUBLE,-0.336700,297
12,False,8,False,HIT,-0.304648,1592
12,False,8,False,STAND,-0.510000,200
12,False,8,True,HIT,-0.291371,2677
12,False,8,True,STAND,-0.579399,233
12,False,8,True,DOUBLE,-0.445833,480
12,False,9,False,HIT,-0.384067,1544
12,False,9,False,STAND,-0.497006,167
12,False,9,True,HIT,-0.375167,2996
12,False,9,True,STAND,-0.684685,222
12,False,9,True,DOUBLE,-1.021097,237
12,False,10,False,HIT,-0.451008,6501
12,False,10,False,STAND,-0.528947,760
12,False,10,True,HIT,-0.449626,11772
12,False,10,True,STAND,-0.606522,920
12,False,10,True,DOUBLE,-0.957806,948
12,True,1,True,HIT,-0.424581,179
12,True,1,True,STAND,-0.714286,14
12,True,1,True,DOUBLE,-1.555556,18
12,True,2,True,HIT,0.026316,190
12,True,2,True,STAND,-0.066667,30
12,True,2,True,DOUBLE,-0.105263,19
12,True,3,True,HIT,-0.111111,36
12,True,3,True,STAND,-0.222222,18
12,True,3,True,DOUBLE,-0.129730,185
12,True,4,True,HIT,0.090909,66
12,True,4,True,STAND,-0.368421,19
12,True,4,True,DOUBLE,-0.103448,116
12,True,5,True,HIT,0.095238,21
12,True,5,True,STAND,-0.200000,15
12,True,5,True,DOUBLE,0.210526,190
12,True,6,True,HIT,0.116402,189
12,True,6,True,STAND,-0.777778,9
12,True,6,True,DOUBLE,-0.000000,10
12,True,7,True,HIT,-0.217391,23
12,True,7,True,STAND,-0.666667,30
12,True,7,True,DOUBLE,-0.188679,159
12,True,8,True,HIT,-0.193182,176
12,True,8,True,STAND,-0.714286,14
12,True,8,True,DOUBLE,-0.200000,20
12,True,9,True,HIT,-0.210811,185
12,True,9,True,STAND,-0.789474,19
12,True,9,True,DOUBLE,-0.256410,39
12,True,10,True,HIT,-0.328477,755
12,True,10,True,STAND,-0.379310,58
12,True,10,True,DOUBLE,-0.825000,80
13,False,1,False,HIT,-0.602246,2137
13,False,1,False,STAND,-0.794239,243
13,False,1,True,HIT,-0.610417,2803
13,False,1,True,STAND,-0.761468,218
13,False,1,True,DOUBLE,-1.223214,224
13,False,2,False,HIT,-0.328185,259
13,False,2,False,STAND,-0.272993,2055
13,False,2,True,HIT,-0.288520,2291
13,False,2,True,STAND,-0.352273,704
13,False,2,True,DOUBLE,-0.552036,221
13,False,3,False,HIT,-0.276434,2109
13,False,3,False,STAND,-0.297710,262
13,False,3,True,HIT,-0.283388,307
13,False,3,True,STAND,-0.251170,2564
13,False,3,True,DOUBLE,-0.475309,324
13,False,4,False,HIT,-0.294728,1157
13,False,4,False,STAND,-0.187063,1144
13,False,4,True,HIT,-0.197183,213
13,False,4,True,STAND,-0.230988,2814
13,False,4,True,DOUBLE,-0.629108,213
13,False,5,False,HIT,-0.213592,309
13,False,5,False,STAND,-0.168766,1985
13,False,5,True,HIT,-0.293722,446
13,False,5,True,STAND,-0.191489,2538
13,False,5,True,DOUBLE,-0.772727,220
13,False,6,False,HIT,-0.193966,232
13,False,6,False,STAND,-0.125189,1989
13,False,6,True,HIT,-0.255605,223
13,False,6,True,STAND,-0.155732,2774
13,False,6,True,DOUBLE,-0.476987,239
13,False,7,False,HIT,-0.288004,2059
13,False,7,False,STAND,-0.538462,221
13,False,7,True,HIT,-0.293899,2688
13,False,7,True,STAND,-0.464151,265
13,False,7,True,DOUBLE,-0.412017,233
13,False,8,False,HIT,-0.334398,1878
13,False,8,False,STAND,-0.472393,326
13,False,8,True,HIT,-0.338670,2811
13,False,8,True,STAND,-0.540816,196
13,False,8,True,DOUBLE,-0.635514,214
13,False,9,False,HIT,-0.387735,2071
13,False,9,False,STAND,-0.506494,231
13,False,9,True,HIT,-0.447016,2463
13,False,9,True,STAND,-0.600000,550
13,False,9,True,DOUBLE,-0.845528,246
13,False,10,False,HIT,-0.498148,8100
13,False,10,False,STAND,-0.576585,1025
13,False,10,True,HIT,-0.475158,11110
13,False,10,True,STAND,-0.589862,868
13,False,10,True,DOUBLE,-1.024677,851
13,True,1,False,HIT,-0.647059,17
13,True,1,False,STAND,-0.500000,12
13,True,1,True,HIT,-0.560127,316
13,True,1,True,STAND,-0.714286,91
13,True,1,True,DOUBLE,-1.230769,52
13,True,2,False,HIT,0.133333,30
13,True,2,False,STAND,-1.000000,1
13,True,2,True,HIT,-0.089286,56
13,True,2,True,STAND,-0.407407,27
13,True,2,True,DOUBLE,-0.046392,388
13,True,3,False,HIT,-0.315789,19
13,True,3,False,STAND,-0.666667,6
13,True,3,True,HIT,-0.027586,145
13,True,3,True,STAND,-0.371429,35
